2022-05-12 11:57:26.177[1652367446177] | INFO  | Thread-27  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=IOTAUSDT&interval=1m
2022-05-12 11:57:26.178[1652367446178] | INFO  | Thread-28  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=AIONUSDT&interval=1m
2022-05-12 11:57:26.199[1652367446199] | INFO  | Thread-29  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=CFXUSDT&interval=1m
2022-05-12 11:57:26.199[1652367446199] | INFO  | Thread-30  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=UNFIUSDT&interval=1m
2022-05-12 11:57:26.199[1652367446199] | INFO  | Thread-32  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=RENUSDT&interval=1m
2022-05-12 11:57:26.199[1652367446199] | INFO  | Thread-31  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=QUICKUSDT&interval=1m
2022-05-12 11:57:26.200[1652367446200] | INFO  | Thread-33  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BUSDUSDT&interval=1m
2022-05-12 11:57:26.200[1652367446200] | INFO  | Thread-34  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BCHUSDT&interval=1m
2022-05-12 11:57:26.200[1652367446200] | INFO  | Thread-35  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MOVRUSDT&interval=1m
2022-05-12 11:57:26.200[1652367446200] | INFO  | Thread-36  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=SHIBUSDT&interval=1m
2022-05-12 11:57:26.200[1652367446200] | INFO  | Thread-37  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=THETAUSDT&interval=1m
2022-05-12 11:57:26.201[1652367446201] | INFO  | Thread-38  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=COMPUSDT&interval=1m
2022-05-12 11:57:26.201[1652367446201] | INFO  | Thread-39  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FETUSDT&interval=1m
2022-05-12 11:57:26.201[1652367446201] | INFO  | Thread-40  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=MLNUSDT&interval=1m
2022-05-12 11:57:26.201[1652367446201] | INFO  | Thread-41  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ZILUSDT&interval=1m
2022-05-12 11:57:26.204[1652367446204] | INFO  | Thread-44  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=FUNUSDT&interval=1m
2022-05-12 11:57:26.204[1652367446204] | INFO  | Thread-42  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=PSGUSDT&interval=1m
2022-05-12 11:57:26.204[1652367446204] | INFO  | Thread-45  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=HIGHUSDT&interval=1m
2022-05-12 11:57:26.205[1652367446205] | INFO  | Thread-46  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ETCUSDT&interval=1m
2022-05-12 11:57:26.205[1652367446205] | INFO  | Thread-43  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ILVUSDT&interval=1m
